date,Station_No,PM2.5,TSP,O3,CO,NO2,SO2,Temperature,Humidity
21-04-2021 19:00,2,20.40333333,47.56166667,121.9677333,0.0,70.0104,330.9933333,29.26666667,76.565
21-04-2021 19:00,3,18.62166667,0.0,79.53421667,1064.634,63.7057,310.0333333,29.56833333,74.55
21-04-2021 19:00,4,27.12833333,63.43166667,88.62945,1386.278,70.51226667,342.7833333,29.90166667,75.75333333
21-04-2021 19:00,5,16.9,35.41166667,104.8896333,1458.858,67.62653333,428.37,29.76,75.25833333
21-04-2021 19:00,6,19.49333333,45.17833333,93.50423333,1725.303,109.2814667,428.8066667,29.79833333,75.49833333
21-04-2021 20:00,1,16.55833333,39.43833333,109.3063833,990.908,159.6877,255.8866667,28.52666667,84.42833333
21-04-2021 20:00,2,17.31730769,42.89615385,116.53425,0.0,70.53880769,293.2384615,28.91730769,78.31346154
21-04-2021 20:00,3,19.58833333,0.0,73.6125,946.405,64.30166667,287.3266667,29.18,77.01833333
21-04-2021 20:00,4,24.73333333,57.06166667,77.27676667,1338.528,61.22773333,342.7833333,29.66333333,75.15666667
21-04-2021 20:00,5,15.645,32.9,98.86976667,1106.654,64.30166667,369.8566667,29.29833333,76.87
21-04-2021 20:00,6,17.595,40.11,90.4943,1274.352,107.4935667,330.9933333,29.29333333,77.14
21-04-2021 21:00,1,16.565,42.55,92.29371667,859.691,155.7668667,222.7,28.655,82.02833333
21-04-2021 21:00,2,17.69333333,42.63,118.5652,0.0,71.95513333,258.9433333,28.63,80.93333333
21-04-2021 21:00,3,19.36551724,0.0,74.86475862,2356.808276,65.9997931,287.3266667,28.69655172,80.36206897
21-04-2021 21:00,4,22.59,52.94,78.19283333,1695.507,68.53616667,455.0066667,29.47166667,77.28166667
21-04-2021 21:00,5,14.695,30.63,98.08456667,1058.904,69.0694,359.3766667,29.04666667,79.45166667
21-04-2021 21:00,6,16.43166667,35.035,88.95661667,1041.332,108.9678,282.5233333,29.09666667,79.63
21-04-2021 22:00,1,17.07833333,42.25166667,98.60803333,801.627,164.8632,216.15,28.29833333,84.06666667
21-04-2021 22:00,2,18.93166667,44.20333333,113.0033667,0.0,71.54736667,244.97,28.46,82.48833333
21-04-2021 22:00,3,19.47666667,0.0,80.8756,950.607,73.9626,254.14,28.825,80.29
21-04-2021 22:00,4,21.52333333,49.15166667,77.3422,950.225,66.3405,275.5366667,29.08833333,79.76666667
21-04-2021 22:00,5,13.69,28.35833333,91.70481667,768.011,66.84236667,305.6666667,28.835,81.21166667
21-04-2021 22:00,6,17.52075472,39.99622642,85.26086792,1075.077736,116.1513585,293.1433962,28.96037736,80.99433962
